epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,47287.1,1.64869,1.49112,1.70622,0.67144,0.47989,0.533,0.28271,1.78031,1.51874,1.81596,0.000181703,0.000181703,0.000181703
92,47800.7,1.62972,1.45084,1.69902,0.66721,0.48789,0.53662,0.28565,1.7697,1.50802,1.807,0.0001652,0.0001652,0.0001652
93,48308.6,1.62408,1.4278,1.69275,0.65979,0.4912,0.53926,0.28662,1.78007,1.51043,1.81273,0.000148696,0.000148696,0.000148696
94,48813.6,1.6131,1.42691,1.68418,0.67425,0.48461,0.54023,0.28735,1.77526,1.50539,1.817,0.000132193,0.000132193,0.000132193
95,49321.1,1.61011,1.40742,1.67409,0.66406,0.48905,0.54119,0.28854,1.77295,1.50379,1.81578,0.00011569,0.00011569,0.00011569
96,49832.2,1.60084,1.4059,1.67477,0.68301,0.48459,0.54227,0.28892,1.76949,1.50104,1.80966,9.91865e-05,9.91865e-05,9.91865e-05
97,50338.7,1.59994,1.40442,1.67372,0.67777,0.49187,0.54288,0.28863,1.76888,1.49693,1.80614,8.26832e-05,8.26832e-05,8.26832e-05
98,50843.4,1.59173,1.39937,1.67245,0.6752,0.48837,0.54212,0.28945,1.77069,1.49627,1.80826,6.61799e-05,6.61799e-05,6.61799e-05
99,51350.4,1.59112,1.39648,1.66959,0.67447,0.48783,0.54262,0.28961,1.76906,1.49247,1.80603,4.96766e-05,4.96766e-05,4.96766e-05
100,51854.1,1.58699,1.38909,1.65912,0.67609,0.48579,0.54362,0.29028,1.77036,1.49012,1.80817,3.31733e-05,3.31733e-05,3.31733e-05
